         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
                1001               7  38932471.00        34.00    272527297.00          238.00
                1017              66  17800899.00        16.00   1174859334.00         1056.00
                1009              48  36733364.00        69.00   1763201472.00         3312.00
                1005              38  46738486.00        38.00   1776062468.00         1444.00
                1009              93  36733364.00        69.00   3416202852.00         6417.00
                1018              22  14599689.00        68.00    321193158.00         1496.00
                1088              64  38334221.00         7.00   2453390144.00          448.00
                1053              19  40036792.00        65.00    760699048.00         1235.00
                1089              75  62481686.00        38.00   4686126450.00         2850.00
                1029              18  57978117.00        10.00   1043606106.00          180.00
                1015              96  55000517.00        95.00   5280049632.00         9120.00
                1090              90  37948824.00        62.00   3415394160.00         5580.00
                1012              99  28560733.00        85.00   2827512567.00         8415.00
                1076              71  57301383.00        68.00   4068398193.00         4828.00
                1060              94  73833666.00        69.00   6940364604.00         6486.00
                1072              32  62159876.00        47.00   1989116032.00         1504.00
                1075              41  61677125.00        39.00   2528762125.00         1599.00
                1070              77  19121129.00        99.00   1472326933.00         7623.00
                1030               7  71912539.00         9.00    503387773.00           63.00
                1035               8  35071419.00        50.00    280571352.00          400.00
                1022              81  50019335.00        63.00   4051566135.00         5103.00
                1029              32  57978117.00        10.00   1855299744.00          320.00
                1027              63  83582158.00        67.00   5265675954.00         4221.00
                1028              31  87951178.00        60.00   2726486518.00         1860.00
                1041              80  77085365.00        41.00   6166829200.00         3280.00
                1054              84  40299841.00        50.00   3385186644.00         4200.00
                1040              80  42145649.00        30.00   3371651920.00         2400.00
                1069              77  58038988.00        62.00   4469002076.00         4774.00
                1092              80  29884085.00        52.00   2390726800.00         4160.00
                1066              35  49142030.00        36.00   1719971050.00         1260.00
                1062              91  86457838.00        45.00   7867663258.00         4095.00
                1088              55  38334221.00         7.00   2108382155.00          385.00
                1033              70  76427814.00        70.00   5349946980.00         4900.00
                1053              65  40036792.00        65.00   2602391480.00         4225.00
                1030               8  71912539.00         9.00    575300312.00           72.00
                1039              98  70401508.00        98.00   6899347784.00         9604.00
                1082               3  35390230.00        73.00    106170690.00          219.00
                1080              17  63173268.00         9.00   1073945556.00          153.00
                1096              40  56222908.00        32.00   2248916320.00         1280.00
                1075              34  61677125.00        39.00   2097022250.00         1326.00
                1032              28  52555493.00        21.00   1471553804.00          588.00
                1050              77  31650412.00        77.00   2437081724.00         5929.00
                1076              35  57301383.00        68.00   2005548405.00         2380.00
                1036              68  65853384.00        51.00   4478030112.00         3468.00
                1063              11  31803679.00        94.00    349840469.00         1034.00
                1091              18  85525597.00        18.00   1539460746.00          324.00
                1007              19  84777768.00        66.00   1610777592.00         1254.00
                1092              61  29884085.00        52.00   1822929185.00         3172.00
                1099              86  82701870.00        86.00   7112360820.00         7396.00
                1027              76  83582158.00        67.00   6352244008.00         5092.00
                1094              62  62963680.00        36.00   3903748160.00         2232.00
                1059              89  34850784.00        89.00   3101719776.00         7921.00
                1056              98  34307586.00        41.00   3362143428.00         4018.00
